op,kind,exists_in_library,is_operator_like,is_meaningful_op,count,datasets
torch.nn.Hardswish,torch.nn,True,True,True,9718,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Hardtanh,torch.nn,True,True,True,2557,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.HingeEmbeddingLoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.InstanceNorm1d,torch.nn,True,True,True,77,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.InstanceNorm2d,torch.nn,True,True,True,1709,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.InstanceNorm3d,torch.nn,True,True,True,1287,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.KLDivLoss,torch.nn,True,True,True,8105,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.L1Loss,torch.nn,True,True,True,8050,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.LPPool1d,torch.nn,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.LPPool2d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LPPool3d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.LSTM,torch.nn,True,True,True,8737,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LayerNorm,torch.nn,True,True,True,10611,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.LazyBatchNorm1d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.LazyBatchNorm2d,torch.nn,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LazyBatchNorm3d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.LazyConv1d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.LazyConv2d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.LazyConv3d,torch.nn,True,True,True,6,cuda_agent_6k_ops
torch.nn.LazyConvTranspose1d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LazyConvTranspose2d,torch.nn,True,True,True,6,cuda_agent_6k_ops
torch.nn.LazyConvTranspose3d,torch.nn,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LazyInstanceNorm1d,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.LazyInstanceNorm2d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LazyInstanceNorm3d,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.LazyLinear,torch.nn,True,True,True,9,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.LeakyReLU,torch.nn,True,True,True,10260,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Linear,torch.nn,True,True,True,65676,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.LocalResponseNorm,torch.nn,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.LogSigmoid,torch.nn,True,True,True,50,"cudallm_rl,drkernel_rl"
torch.nn.LogSoftmax,torch.nn,True,True,True,8877,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.MSELoss,torch.nn,True,True,True,8005,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.MarginRankingLoss,torch.nn,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.nn.MaxPool1d,torch.nn,True,True,True,8575,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.MaxPool2d,torch.nn,True,True,True,11045,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.MaxPool3d,torch.nn,True,True,True,1340,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.MaxUnpool1d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.MaxUnpool3d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.Mish,torch.nn,True,True,True,1116,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.MultiLabelMarginLoss,torch.nn,True,True,True,20,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.MultiLabelSoftMarginLoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.MultiheadAttention,torch.nn,True,True,True,8199,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.NLLLoss,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.NLLLoss2d,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.PReLU,torch.nn,True,True,True,8621,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.PixelShuffle,torch.nn,True,True,True,7170,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.PixelUnshuffle,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.PoissonNLLLoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.RMSNorm,torch.nn,True,True,True,7106,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.RNN,torch.nn,True,True,True,26,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.RNNCell,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.RReLU,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.ReLU,torch.nn,True,True,True,17300,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ReLU6,torch.nn,True,True,True,8708,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ReflectionPad1d,torch.nn,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.nn.ReflectionPad2d,torch.nn,True,True,True,7844,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ReflectionPad3d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.ReplicationPad1d,torch.nn,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.nn.ReplicationPad2d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.ReplicationPad3d,torch.nn,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.nn.SELU,torch.nn,True,True,True,704,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.SiLU,torch.nn,True,True,True,8993,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Sigmoid,torch.nn,True,True,True,11170,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.SmoothL1Loss,torch.nn,True,True,True,133,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.SoftMarginLoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.Softmax,torch.nn,True,True,True,11259,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Softmax2d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.Softmin,torch.nn,True,True,True,13,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Softplus,torch.nn,True,True,True,9543,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Softshrink,torch.nn,True,True,True,31,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Softsign,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.SyncBatchNorm,torch.nn,True,True,True,7896,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.SyncBatchNorm.convert_sync_batchnorm,torch.nn,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.Tanh,torch.nn,True,True,True,11364,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Tanhshrink,torch.nn,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Threshold,torch.nn,True,True,True,57,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Transformer,torch.nn,True,True,True,18,"cudallm_rl,drkernel_rl"
torch.nn.TransformerDecoder,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.TransformerDecoderLayer,torch.nn,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.nn.TransformerEncoder,torch.nn,True,True,True,10,"cudallm_rl,drkernel_rl"
torch.nn.TransformerEncoderLayer,torch.nn,True,True,True,38,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.TripletMarginLoss,torch.nn,True,True,True,965,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.TripletMarginWithDistanceLoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.Unflatten,torch.nn,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.nn.Unfold,torch.nn,True,True,True,6737,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Upsample,torch.nn,True,True,True,7623,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.UpsamplingBilinear2d,torch.nn,True,True,True,18,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.UpsamplingNearest2d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.ZeroPad1d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.ZeroPad2d,torch.nn,True,True,True,7574,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ZeroPad3d,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.functional.adaptive_avg_pool1d,torch.nn.functional,True,True,True,36,"cudallm_rl,drkernel_rl"
torch.nn.functional.adaptive_avg_pool2d,torch.nn.functional,True,True,True,727,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.adaptive_avg_pool3d,torch.nn.functional,True,True,True,52,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.adaptive_max_pool1d,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.adaptive_max_pool1d_with_indices,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.adaptive_max_pool2d,torch.nn.functional,True,True,True,17,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.adaptive_max_pool2d_with_indices,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.adaptive_max_pool3d,torch.nn.functional,True,True,True,5,"cuda_agent_6k_ops,cudallm_sft,drkernel_coldstart"
torch.nn.functional.adaptive_max_pool3d_with_indices,torch.nn.functional,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.affine_grid,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.avg_pool1d,torch.nn.functional,True,True,True,67,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.avg_pool2d,torch.nn.functional,True,True,True,63,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.avg_pool3d,torch.nn.functional,True,True,True,30,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.batch_norm,torch.nn.functional,True,True,True,49,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.binary_cross_entropy_with_logits,torch.nn.functional,True,True,True,7526,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.celu,torch.nn.functional,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.nn.functional.channel_shuffle,torch.nn.functional,True,True,True,3,cuda_agent_6k_ops
torch.nn.functional.conv1d,torch.nn.functional,True,True,True,6692,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.conv2d,torch.nn.functional,True,True,True,114,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.conv3d,torch.nn.functional,True,True,True,3,cuda_agent_6k_ops
torch.nn.functional.conv_transpose1d,torch.nn.functional,True,True,True,4423,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.conv_transpose2d,torch.nn.functional,True,True,True,24,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.conv_transpose3d,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.cosine_embedding_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.cosine_similarity,torch.nn.functional,True,True,True,8796,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.cross_entropy,torch.nn.functional,True,True,True,7938,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.ctc_loss,torch.nn.functional,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.dropout,torch.nn.functional,True,True,True,7785,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.dropout1d,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.dropout2d,torch.nn.functional,True,True,True,7061,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.dropout3d,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.elu,torch.nn.functional,True,True,True,1806,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.embedding,torch.nn.functional,True,True,True,4706,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.embedding_bag,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.feature_alpha_dropout,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.fractional_max_pool2d,torch.nn.functional,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.nn.functional.fractional_max_pool2d_with_indices,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.fractional_max_pool3d,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.fractional_max_pool3d_with_indices,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.gelu,torch.nn.functional,True,True,True,10272,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.glu,torch.nn.functional,True,True,True,21,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.grid_sample,torch.nn.functional,True,True,True,18,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.group_norm,torch.nn.functional,True,True,True,8030,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.gumbel_softmax,torch.nn.functional,True,True,True,9,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.hardshrink,torch.nn.functional,True,True,True,482,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.hardsigmoid,torch.nn.functional,True,True,True,1220,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.hardswish,torch.nn.functional,True,True,True,1356,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.hardtanh,torch.nn.functional,True,True,True,1780,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.hinge_embedding_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.huber_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.instance_norm,torch.nn.functional,True,True,True,57,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.interpolate,torch.nn.functional,True,True,True,8254,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.kl_div,torch.nn.functional,True,True,True,8272,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.l1_loss,torch.nn.functional,True,True,True,7425,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.layer_norm,torch.nn.functional,True,True,True,7194,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.leaky_relu,torch.nn.functional,True,True,True,1960,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.linear,torch.nn.functional,True,True,True,6990,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.local_response_norm,torch.nn.functional,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.log_softmax,torch.nn.functional,True,True,True,15096,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.logsigmoid,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.lp_pool1d,torch.nn.functional,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.lp_pool2d,torch.nn.functional,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.lp_pool3d,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.margin_ranking_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.max_pool1d,torch.nn.functional,True,True,True,59,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.max_pool1d_with_indices,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.max_pool2d,torch.nn.functional,True,True,True,170,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.max_pool2d_with_indices,torch.nn.functional,True,True,True,3,cuda_agent_6k_ops
torch.nn.functional.max_pool3d,torch.nn.functional,True,True,True,19,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.max_pool3d_with_indices,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.max_unpool1d,torch.nn.functional,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.max_unpool3d,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.mish,torch.nn.functional,True,True,True,1569,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.mse_loss,torch.nn.functional,True,True,True,8004,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.multi_head_attention_forward,torch.nn.functional,True,True,True,1028,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.multi_margin_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.multilabel_margin_loss,torch.nn.functional,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.multilabel_soft_margin_loss,torch.nn.functional,True,True,True,3,cuda_agent_6k_ops
torch.nn.functional.native_channel_shuffle,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.nll_loss,torch.nn.functional,True,True,True,10,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.normalize,torch.nn.functional,True,True,True,8601,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.one_hot,torch.nn.functional,True,True,True,8252,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.pad,torch.nn.functional,True,True,True,8057,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.pairwise_distance,torch.nn.functional,True,True,True,13,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.pdist,torch.nn.functional,True,True,True,3,cuda_agent_6k_ops
torch.nn.functional.pixel_shuffle,torch.nn.functional,True,True,True,12,"cuda_agent_6k_ops,cudallm_sft"
torch.nn.functional.pixel_unshuffle,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.poisson_nll_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.prelu,torch.nn.functional,True,True,True,21,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.relu,torch.nn.functional,True,True,True,10058,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.relu6,torch.nn.functional,True,True,True,85,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.rms_norm,torch.nn.functional,True,True,True,13,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.rrelu,torch.nn.functional,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.scaled_dot_product_attention,torch.nn.functional,True,True,True,7401,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.selu,torch.nn.functional,True,True,True,283,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.sigmoid,torch.nn.functional,True,True,True,9046,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.silu,torch.nn.functional,True,True,True,8569,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.smooth_l1_loss,torch.nn.functional,True,True,True,8592,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.soft_margin_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.softmax,torch.nn.functional,True,True,True,27342,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.softmin,torch.nn.functional,True,True,True,17,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.softplus,torch.nn.functional,True,True,True,10541,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.softshrink,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.softsign,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.tanh,torch.nn.functional,True,True,True,200,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.tanhshrink,torch.nn.functional,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.nn.functional.threshold,torch.nn.functional,True,True,True,46,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.torch.cumsum,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.torch.mean,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.torch.pow,torch.nn.functional,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.nn.functional.torch.tril,torch.nn.functional,True,True,True,8,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.triplet_margin_loss,torch.nn.functional,True,True,True,35,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.triplet_margin_with_distance_loss,torch.nn.functional,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.functional.unfold,torch.nn.functional,True,True,True,7186,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.functional.upsample,torch.nn.functional,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.functional.upsample_bilinear,torch.nn.functional,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_rl"
torch.nn.functional.upsample_nearest,torch.nn.functional,True,True,True,3,cuda_agent_6k_ops
torch.nn.quantized.FloatFunctional,torch.nn,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.nonzero,torch,True,True,True,8034,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.norm,torch,True,True,True,9143,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.not_equal,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.numel,torch,True,True,True,12,"cudallm_rl,drkernel_rl"
